Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms
M&A,11/23/2015, ,4/6/2016,Pfizer Inc,PFE US,Allergan Ltd/Ireland,AGN US,183068.25,164829.25,Stock,10.64,Terminated,3500,N/A,Friendly,.0885 Aqr sh./Tgt sh.
M&A,8/27/2019, ,9/25/2019,Altria Group Inc,MO US,Philip Morris International Inc,PM US,95310.3,67866.3,Stock,10.05,Withdrawn, ,N/A,Friendly, 
M&A,6/9/2019, ,4/3/2020,Raytheon Co,RTN US,RTX Corp,UTX US,90016.87,86200.87,Stock,17.01,Completed,2365,N/A,Friendly,2.3348 Aqr sh./Tgt sh.
M&A,3/5/2006, ,1/3/2007,BellSouth LLC,BLS US,AT&T Inc,T US,83105.45,66344.45,Stock,9.66,Completed,1700,N/A,Friendly,1.3250 Aqr sh./Tgt sh.
M&A,2/13/2014, ,4/24/2015,Time Warner Cable Inc,TWC US,Comcast Corp,CMCSA US,68404.8,43877.8,Stock,8.7,Terminated, ,N/A,Friendly,2.8750 Aqr sh./Tgt sh.
M&A,4/29/2018,2/20/2020,4/1/2020,Sprint Corp,1897377D US,T-Mobile US Inc,TMUS US,68014.33,N/A,Stock,6.44,Completed, ,N/A,,.0884 Aqr sh./Tgt sh.
M&A,10/11/2023, ,5/3/2024,Pioneer Natural Resources Co,PXD US,Exxon Mobil Corp,XOM US,67995.45,62377.45,Stock,5.39,Completed, ,N/A,Friendly,2.3234 Aqr sh./Tgt sh.
M&A,12/11/2015, ,9/1/2017,EIDP Inc,1715651D US,DuPont de Nemours Inc,DD US,65349.87,59143.87,Stock,13.4,Completed,1900,N/A,Friendly,1.2820 Aqr sh./Tgt sh.
M&A,8/1/2018, ,10/19/2018,Energy Transfer Operating LP,ETP US,Energy Transfer LP,ET US,59299.55,25897.55,Stock,11.09,Completed, ,N/A,Friendly,1.2800 Aqr sh./Tgt sh.
M&A,1/28/2005, ,10/3/2005,Gillette Co/The,1028411Q US,Procter & Gamble Co/The,PG US,57278.56,54837.56,Stock,18.63,Completed, ,N/A,Friendly,.9750 Aqr sh./Tgt sh.
M&A,1/14/2004, ,7/1/2004,Bank One Corp,3621240Q US,JPMorgan Chase & Co,JPM US,55065.91,N/A,Stock, ,Completed,2300,N/A,Friendly,1.3200 Aqr sh./Tgt sh.
M&A,11/21/2016, ,4/28/2017,ETP Legacy LP,9876456D US,Energy Transfer Operating LP,ETP US,50745.62,20641.62,Stock,12.37,Completed, ,N/A,Friendly,1.5000 Aqr sh./Tgt sh.
M&A,10/27/2003, ,4/1/2004,FleetBoston Financial Corp,FBF US,Bank of America Corp,BAC US,48099.66,31522.66,Stock, ,Completed, ,N/A,Friendly,.5553 Aqr sh./Tgt sh.
M&A,11/30/2020, ,2/28/2022,IHS Markit Ltd,2499073D US,S&P Global Inc,SPGI US,43598.58,38419.08,Stock,25.03,Completed,2380,N/A,Friendly,.2838 Aqr sh./Tgt sh.
M&A,12/14/2009, ,6/28/2010,XTO Energy Inc,XTO US,Exxon Mobil Corp,XOM US,41366.82,31005.82,Stock,6.51,Completed, ,N/A,Friendly,.7098 Aqr sh./Tgt sh.
M&A,9/15/2008, ,1/2/2009,Merrill Lynch & Co Inc,MER US,Bank of America Corp,BAC US,40452.3,40452.3,Stock,2.63,Completed, ,N/A,Friendly,.8595 Aqr sh./Tgt sh.
