date,value,invested_capital,holdings
2004-07-26,1000000.0,0.0,{}
2004-07-27,1000000.0,0.0,{}
2004-07-28,1000000.0,0.0,{}
2004-07-29,1000000.0,0.0,{}
2004-07-30,1000000.0,0.0,{}
2004-08-02,1000000.0,0.0,{}
2004-08-03,1000000.0,0.0,{}
2004-08-04,1000000.0,0.0,{}
2004-08-05,1000000.0,0.0,{}
2004-08-06,1000000.0,0.0,{}
2004-08-09,1000000.0,0.0,{}
2004-08-10,1000000.0,0.0,{}
2004-08-11,1000000.0,0.0,{}
2004-08-12,1000000.0,0.0,{}
2004-08-13,1000000.0,0.0,{}
2004-08-16,1000000.0,0.0,{}
2004-08-17,1000000.0,0.0,{}
2004-08-18,1000000.0,0.0,{}
2004-08-19,1000000.0,0.0,{}
2004-08-20,1000000.0,0.0,{}
2004-08-23,1000000.0,0.0,{}
2004-08-24,1000000.0,0.0,{}
2004-08-25,1000000.0,0.0,{}
2004-08-26,1000000.0,0.0,{}
2004-08-27,1000000.0,0.0,{}
2004-08-30,1000000.0,0.0,{}
2004-08-31,1000000.0,0.0,{}
2004-09-01,1000000.0,0.0,{}
2004-09-02,1000000.0,0.0,{}
2004-09-03,1000000.0,0.0,{}
2004-09-07,1000000.0,0.0,{}
2004-09-08,1000000.0,0.0,{}
2004-09-09,1000000.0,0.0,{}
2004-09-10,1000000.0,0.0,{}
2004-09-13,1000000.0,0.0,{}
2004-09-14,1000000.0,0.0,{}
2004-09-15,1000000.0,0.0,{}
2004-09-16,1000000.0,0.0,{}
2004-09-17,1000000.0,0.0,{}
2004-09-20,1000000.0,0.0,{}
2004-09-21,1000000.0,0.0,{}
2004-09-22,1000000.0,0.0,{}
2004-09-23,1000000.0,0.0,{}
2004-09-24,1000000.0,0.0,{}
2004-09-27,1000000.0,0.0,{}
2004-09-28,1000000.0,0.0,{}
2004-09-29,1000000.0,0.0,{}
2004-09-30,1000000.0,0.0,{}
2004-10-01,1000000.0,0.0,{}
2004-10-04,1000000.0,0.0,{}
2004-10-05,1000000.0,0.0,{}
2004-10-06,1000000.0,0.0,{}
2004-10-07,1000000.0,0.0,{}
2004-10-08,1000000.0,0.0,{}
2004-10-11,1000000.0,0.0,{}
2004-10-12,1000000.0,0.0,{}
2004-10-13,1000000.0,0.0,{}
