Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms,deal_id,Exchange Ratio,Clean Target Ticker,Clean Acquirer Ticker,target_market_cap,acquirer_market_cap
M&A,2015-11-23,,2016-04-06,Pfizer Inc,PFE US,Allergan Ltd/Ireland,AGN US,183068.25,164829.25,Stock,10.64,Terminated,3500,,Friendly,.0885 Aqr sh./Tgt sh.,0,0.0885,PFE,AGN,197170115560.0,122590055543.63998
M&A,2019-06-09,,2020-04-03,Raytheon Co,RTN US,RTX Corp,UTX US,90016.87,86200.87,Stock,17.01,Completed,2365,,Friendly,2.3348 Aqr sh./Tgt sh.,2,2.3348,RTN,UTX,52389052490.0,110381862287.08998
M&A,2006-03-05,,2007-01-03,BellSouth LLC,BLS US,AT&T Inc,T US,83105.45,66344.45,Stock,9.66,Completed,1700,,Friendly,1.3250 Aqr sh./Tgt sh.,3,1.325,BLS,T,62024652000.0,104831115200.0
M&A,2014-02-13,,2015-04-24,Time Warner Cable Inc,TWC US,Comcast Corp,CMCSA US,68404.8,43877.8,Stock,8.7,Terminated,,,Friendly,2.8750 Aqr sh./Tgt sh.,4,2.875,TWC,CMCSA,40573400000.0,111136983000.0
M&A,2023-10-11,,2024-05-03,Pioneer Natural Resources Co,PXD US,Exxon Mobil Corp,XOM US,67995.45,62377.45,Stock,5.39,Completed,,,Friendly,2.3234 Aqr sh./Tgt sh.,6,2.3234,PXD,XOM,56037770760.00001,426219958710.0
M&A,2003-10-27,,2004-04-01,FleetBoston Financial Corp,FBF US,Bank of America Corp,BAC US,48099.66,31522.66,Stock,,Completed,,,Friendly,.5553 Aqr sh./Tgt sh.,12,0.5553,FBF,BAC,40828347599.99999,109006474899.99998
M&A,2009-12-14,,2010-06-28,XTO Energy Inc,XTO US,Exxon Mobil Corp,XOM US,41366.82,31005.82,Stock,6.51,Completed,,,Friendly,.7098 Aqr sh./Tgt sh.,14,0.7098,XTO,XOM,27658909080.0,328369634280.00006
M&A,2008-09-15,,2009-01-02,Merrill Lynch & Co Inc,MER US,Bank of America Corp,BAC US,40452.3,40452.3,Stock,2.63,Completed,,,Friendly,.8595 Aqr sh./Tgt sh.,15,0.8595,MER,BAC,33912754220.0,134751339150.0
M&A,2019-01-16,,2019-07-29,First Data Corp,FDC US,Fiserv Inc,FI US,38170.65,21016.65,Stock,12.79,Completed,665,,Friendly,.3030 Aqr sh./Tgt sh.,16,0.303,FDC,FI,12423254830.0,1316582300.0
M&A,2020-10-27,,2022-02-15,Xilinx Inc,XLNX US,Advanced Micro Devices Inc,AMD US,34092.3,35143.01,Stock,37.23,Completed,1500,,Friendly,1.7234 Aqr sh./Tgt sh.,17,1.7234,XLNX,AMD,29355810720.000004,91887196800.00002
M&A,2022-06-13,,2022-10-03,Duke Realty Corp,DRE US,Prologis Inc,PLD US,26315.78,22673.87,Stock,39.67,Completed,,,Friendly,.4750 Aqr sh./Tgt sh.,23,0.475,DRE,PLD,19684096000.0,81917946220.0
M&A,2004-12-20,,2006-09-14,Public Service Enterprise Group Inc,PEG US,Exelon Corp,EXC US,25965.99,12345.99,Stock,9.21,Terminated,400,,Friendly,1.2250 Aqr sh./Tgt sh.,24,1.225,PEG,EXC,12111426400.0,28834132480.0
M&A,2019-05-28,,2019-09-18,Total System Services Inc,TSS US,Global Payments Inc,GPN US,25014.23,21113.04,Stock,19.53,Completed,860,,Friendly,.8101 Aqr sh./Tgt sh.,26,0.8101,TSS,GPN,20977668250.0,23309709499.999996
M&A,2023-08-08,2023-10-02,2024-01-02,DISH Network Corp,DISH US,EchoStar Corp,SATS US,24441.32,1846.24,Stock,7.9,Completed,,,Friendly,.3509 Aqr sh./Tgt sh.,27,0.3509,DISH,SATS,2443156480.0,854146440.0000001
