Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms
M&A,11/24/2024, ,1/31/2025,EnLink Midstream LLC,ENLC US,ONEOK Inc,OKE US,8631.38,3810.28,Stock,8.38,Completed, ,N/A,Friendly,.1412 Aqr sh./Tgt sh.
M&A,8/21/2024, ,1/14/2025,Arch Resources Inc,ARCH US,Core Natural Resources Inc,CNR US,2135.78,2272.33,Stock,3.07,Completed,82,N/A,Friendly,1.3260 Aqr sh./Tgt sh.
M&A,5/20/2024, ,1/2/2025,Independent Bank Group Inc,IBTX US,SouthState Corp,SSB US,1974.34,1974.34,Stock, ,Completed,186,N/A,Friendly,.6000 Aqr sh./Tgt sh.
M&A,4/29/2024, ,2/3/2025,Heartland Financial USA Inc,HTLF US,UMB Financial Corp,UMBF US,1937.56,1937.56,Stock, ,Completed, ,N/A,Friendly,.5500 Aqr sh./Tgt sh.
M&A,8/7/2024, ,1/13/2025,Blue Owl Capital Corp III,OBDE US,Blue Owl Capital Corp,OBDC US,1918.24,1918.24,Stock, ,Completed,179.8,N/A,Friendly,.9779 Aqr sh./Tgt sh.
M&A,10/21/2024, ,4/1/2025,Sandy Spring Bancorp Inc,SASR US,Atlantic Union Bankshares Corp,AUB US,1522.23,1522.23,Stock, ,Completed,56,N/A,Friendly,.9000 Aqr sh./Tgt sh.
M&A,7/29/2024, ,4/1/2025,First Bancshares Inc/The,FBMS US,Renasant Corp,RNST US,1038.9,1038.9,Stock, ,Completed, ,N/A,Friendly,1.0000 Aqr sh./Tgt sh.
M&A,7/26/2024, ,3/4/2025,Premier Financial Corp,PFC US,WesBanco Inc,WSBC US,863.02,863.02,Stock, ,Completed, ,N/A,Friendly,.8000 Aqr sh./Tgt sh.
M&A,8/27/2024, ,3/4/2025,CrossFirst Bankshares Inc,CFB US,First Busey Corp,BUSE US,845.68,845.68,Stock, ,Completed,36.7,N/A,Friendly,.6675 Aqr sh./Tgt sh.
M&A,7/29/2024, ,2/3/2025,Heartland BancCorp,HLAN US,German American Bancorp Inc,GABC US,303.98,303.98,Stock, ,Completed,10,N/A,Friendly,3.9000 Aqr sh./Tgt sh.
M&A,7/25/2024, ,3/3/2025,Fentura Financial Inc,FETM US,ChoiceOne Financial Services Inc,COFS US,168.71,168.71,Stock, ,Completed, ,N/A,Friendly,1.3500 Aqr sh./Tgt sh.
M&A,9/10/2024, ,1/3/2025,Northway Financial Inc,NWYF US,Camden National Corp,CAC US,87.39,87.39,Stock, ,Completed, ,N/A,Friendly,.8300 Aqr sh./Tgt sh.
M&A,7/24/2024, ,2/3/2025,Traditions Bancorp Inc,TRBK US,ACNB Corp,ACNB US,73.83,73.83,Stock, ,Completed, ,N/A,Friendly,.7300 Aqr sh./Tgt sh.
M&A,11/4/2024, ,2/28/2025,Staffing 360 Solutions Inc,STAF US,Atlantic International Corp,ATLN US,42.76,5.73,Stock, ,Terminated, ,N/A,Friendly,1.2020 Aqr sh./Tgt sh.
M&A,8/22/2024, ,3/27/2025,Cyclo Therapeutics Inc,CYTH US,Rafael Holdings Inc,RFL US,9.12,9.96,Stock, ,Completed, ,N/A,Friendly,.3525 Aqr sh./Tgt sh.
M&A,7/29/2024, ,1/22/2025,Business Warrior Corp,BZWR US,Innovative Payment Solutions Inc,IPSI US,N/A,N/A,Stock, ,Terminated, ,N/A,Friendly, 
M&A,1/29/2025, ,3/6/2025,Dear Cashmere Holding Co,DRCR US,Signing Day Sports Inc,SGN US,N/A,N/A,Stock, ,Terminated, ,N/A,Friendly, 
