,date,deal_id,leg,price,ticker
0,2004-12-16,987,acquirer,63.45,Johnson & Johnson
1,2004-12-16,987,target,71.7,GDT US
2,2004-12-16,1060,acquirer,59.38,Noble Energy Inc
3,2004-12-16,1060,target,36.61,POG US
4,2004-12-17,987,acquirer,63.58,Johnson & Johnson
5,2004-12-17,987,target,71.62,GDT US
6,2004-12-17,1060,acquirer,60.15,Noble Energy Inc
7,2004-12-17,1060,target,36.84,POG US
8,2004-12-20,984,acquirer,43.05,Exelon Corp
9,2004-12-20,984,target,50.56,PEG US
10,2004-12-20,987,acquirer,63.07,Johnson & Johnson
11,2004-12-20,987,target,71.75,GDT US
12,2004-12-20,1060,acquirer,60.55,Noble Energy Inc
13,2004-12-20,1060,target,37.03,POG US
14,2004-12-21,984,acquirer,43.52,Exelon Corp
15,2004-12-21,984,target,50.95,PEG US
16,2004-12-21,987,acquirer,62.95,Johnson & Johnson
17,2004-12-21,987,target,71.7,GDT US
18,2004-12-21,1060,acquirer,61.39,Noble Energy Inc
19,2004-12-21,1060,target,37.38,POG US
20,2004-12-22,984,acquirer,43.95,Exelon Corp
21,2004-12-22,984,target,51.17,PEG US
22,2004-12-22,987,acquirer,63.3,Johnson & Johnson
23,2004-12-22,987,target,71.63,GDT US
24,2004-12-22,1060,acquirer,61.25,Noble Energy Inc
25,2004-12-22,1060,target,37.24,POG US
26,2004-12-23,984,acquirer,44.15,Exelon Corp
27,2004-12-23,984,target,51.66,PEG US
28,2004-12-23,987,acquirer,63.6,Johnson & Johnson
29,2004-12-23,987,target,71.48,GDT US
30,2004-12-23,1060,acquirer,61.5,Noble Energy Inc
31,2004-12-23,1060,target,37.36,POG US
32,2004-12-27,984,acquirer,44.2,Exelon Corp
33,2004-12-27,984,target,51.65,PEG US
34,2004-12-27,987,acquirer,63.53,Johnson & Johnson
35,2004-12-27,987,target,71.62,GDT US
36,2004-12-27,1060,acquirer,60.8,Noble Energy Inc
37,2004-12-27,1060,target,37.18,POG US
38,2004-12-28,984,acquirer,44.47,Exelon Corp
39,2004-12-28,984,target,52.11,PEG US
40,2004-12-28,987,acquirer,63.76,Johnson & Johnson
41,2004-12-28,987,target,71.88,GDT US
42,2004-12-28,1060,acquirer,61.22,Noble Energy Inc
43,2004-12-28,1060,target,37.27,POG US
44,2004-12-29,984,acquirer,44.7,Exelon Corp
45,2004-12-29,984,target,52.39,PEG US
46,2004-12-29,987,acquirer,63.53,Johnson & Johnson
47,2004-12-29,987,target,72.01,GDT US
48,2004-12-29,1060,acquirer,61.5,Noble Energy Inc
49,2004-12-29,1060,target,37.39,POG US
50,2004-12-30,984,acquirer,44.39,Exelon Corp
51,2004-12-30,984,target,52.31,PEG US
52,2004-12-30,987,acquirer,63.55,Johnson & Johnson
53,2004-12-30,987,target,72.01,GDT US
54,2004-12-30,1060,acquirer,61.13,Noble Energy Inc
55,2004-12-30,1060,target,37.29,POG US
56,2004-12-31,984,acquirer,44.07,Exelon Corp
57,2004-12-31,984,target,51.77,PEG US
58,2004-12-31,987,acquirer,63.42,Johnson & Johnson
59,2004-12-31,987,target,72.1,GDT US
60,2004-12-31,1060,acquirer,61.66,Noble Energy Inc
61,2004-12-31,1060,target,37.5,POG US
62,2005-01-03,984,acquirer,43.23,Exelon Corp
63,2005-01-03,984,target,50.95,PEG US
64,2005-01-03,987,acquirer,62.9,Johnson & Johnson
65,2005-01-03,987,target,72.02,GDT US
66,2005-01-03,1060,acquirer,58.25,Noble Energy Inc
